PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
1;59;8;30;01059008_30_59;2022;1;1;1.58;0.73;0.55;0.68;0.65;0.72;0.56;0.59;0.56;0.84;0.87;;;;;;;;;;;;;
1;59;8;30;01059008_30_59;2022;1;3;;;;;;;;;;;;;;0.24;0.23;0.22;0.23;0.58;0.24;0.54;0.69;0.32;0.17;0.17
1;59;8;30;01059008_30_59;2022;1;4;0.16;0.16;0.18;0.18;0.14;0.15;0.22;0.18;0.16;0.18;0.18;0.13;0.17;0.11;0.17;0.18;0.19;0.25;0.25;0.28;0.25;0.2;0.2;0.22
1;59;8;30;01059008_30_59;2022;1;5;0.23;0.26;0.22;0.2;0.21;0.23;0.28;0.31;0.34;0.4;0.35;0.29;0.27;0.3;0.48;0.33;0.45;0.58;0.57;0.51;0.51;0.51;0.48;0.41
1;59;8;30;01059008_30_59;2022;1;6;0.36;0.31;0.32;0.33;0.32;0.33;0.33;0.37;0.54;0.45;0.37;0.32;0.3;0.28;0.3;0.26;0.29;0.36;0.43;0.32;0.32;0.3;0.3;0.28
1;59;8;30;01059008_30_59;2022;1;7;0.25;0.24;0.25;0.26;0.32;0.32;0.28;0.25;0.3;0.27;0.3;0.39;0.28;0.23;0.28;0.29;0.28;0.32;0.31;0.23;0.25;0.29;0.29;0.28
1;59;8;30;01059008_30_59;2022;1;8;0.25;0.25;0.23;0.23;0.32;0.29;0.23;0.28;0.55;0.34;0.36;0.28;0.27;0.27;0.25;0.2;0.23;0.25;0.25;0.23;0.2;0.22;0.22;0.19
1;59;8;30;01059008_30_59;2022;1;9;0.18;0.19;0.2;0.19;0.21;0.24;0.27;0.28;0.26;0.29;0.31;0.31;0.29;0.25;0.29;0.27;0.23;0.22;0.2;0.17;0.17;0.11;0.09;0.1
1;59;8;30;01059008_30_59;2022;1;10;0.07;0.06;0.08;0.14;0.15;0.16;0.13;0.19;0.23;0.24;0.38;0.24;0.18;0.14;0.2;0.14;0.21;0.25;0.41;0.3;0.43;0.47;0.24;0.18
1;59;8;30;01059008_30_59;2022;1;11;0.17;0.14;0.15;0.11;0.14;0.2;0.23;0.46;0.42;0.26;0.68;0.21;0.22;0.2;0.2;0.46;0.68;0.35;0.37;0.36;0.41;0.48;0.36;0.7
1;59;8;30;01059008_30_59;2022;1;12;0.31;0.34;0.29;0.3;0.31;0.37;0.41;0.5;0.63;0.71;;;0.43;0.44;0.36;0.36;0.44;0.46;0.46;0.42;0.5;0.6;0.53;0.54
