PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;DIA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
7;40;4;12;07040004_12_8;2022;3;2;4.1;2.7;4.2;3.2;6.4;5.1;14.1;26.4;;30.7;12.4;13.2;7.9;5.9;6.0;8.8;9.8;6.5;10.1;12.5;8.6;6.8;5.9;5.8
18;189;999;12;18189999_12_8;2022;3;4;1.84;3.01;1.1;0.91;1.67;1.39;1.87;1.75;2.28;4.24;1.34;1.12;1.14;1.2;1.01;1.15;2.69;2.57;1.77;1.76;1.97;4.92;1.83;0.92
25;196;1;12;25196001_12_8;2022;3;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
7;46;1;12;07046001_12_8;2022;3;5;4.533;4.533;4.533;4.533;4.533;4.533;4.533;4.533;4.533;7.533;4.533;5.533;4.533;4.533;4.533;4.533;6.533;6.533;4.533;4.533;4.533;4.533;4.533;4.533
35;22;3;12;35022003_12_8;2022;3;5;6.0;6.0;7.0;6.0;7.0;8.0;7.0;6.0;6.0;6.0;6.0;8.0;8.0;6.0;7.0;8.0;7.0;6.0;6.0;8.0;6.0;6.0;6.0;6.0
38;4;1;12;38004001_12_8;2022;3;5;3.0;3.0;3.0;6.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;5.0;5.0;4.0;4.0;3.0
38;6;1;12;38006001_12_8;2022;3;5;6.9;5.9;5.9;5.9;5.9;5.9;11.6;14.1;11.0;9.1;8.8;10.6;12.3;11.4;6.9;6.0;7.2;8.5;8.8;9.0;10.6;12.7;16.9;15.5
38;6;2;12;38006002_12_8;2022;3;5;9.5;6.3;6.0;5.9;6.2;6.0;5.9;7.3;6.9;8.6;8.5;7.4;7.5;6.4;6.1;6.4;6.8;6.4;7.2;9.6;8.8;9.1;8.3;6.9
38;9;1;12;38009001_12_8;2022;3;5;100.0;52.0;7.0;60.0;24.0;17.0;60.0;35.0;69.0;112.0;57.0;17.0;9.0;7.0;6.0;6.0;6.0;6.0;11.0;30.0;92.0;35.0;61.0;32.0
38;17;3;12;38017003_12_8;2022;3;5;8.8;6.0;7.3;5.9;6.0;8.9;12.9;15.8;11.0;5.9;6.0;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;17.0;12.0;10.9;11.0
38;31;1;12;38031001_12_8;2022;3;5;4.0;4.0;4.0;4.0;4.0;3.0;5.0;7.0;7.0;5.0;5.0;4.0;4.0;5.0;5.0;4.0;5.0;5.0;5.0;6.0;8.0;7.0;6.0;6.0
30;24;2;12;30024002_12_8;2022;3;3;14.0;14.0;12.0;14.0;15.0;16.0;66.0;38.0;26.0;18.0;15.0;12.0;12.0;13.0;12.0;12.0;12.0;14.0;17.0;16.0;16.0;13.0;11.0;11.0
33;36;999;12;33036999_12_8;2022;3;3;3.77;2.19;2.57;2.08;1.9;1.9;2.46;4.7;1.48;2.64;1.22;3.88;3.88;2.0;2.37;2.14;2.76;2.41;2.49;1.75;1.66;1.76;1.94;1.33
41;88;1;12;41088001_12_8;2022;3;3;6.0;6.0;6.0;6.0;6.0;6.0;6.0;15.0;22.0;7.0;6.0;5.0;5.0;7.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;6.0;6.0
25;224;999;12;25224999_12_8;2022;3;3;2.69;2.54;2.46;2.53;2.58;2.6;2.46;2.54;3.33;2.93;2.39;2.27;2.13;2.15;2.02;1.83;2.36;2.99;3.28;3.71;3.07;2.62;3.04;2.79
38;6;3;12;38006003_12_8;2022;3;3;5.9;5.9;6.7;5.9;5.9;6.0;6.3;10.4;8.1;6.8;6.3;5.9;5.9;6.1;5.9;5.9;5.9;6.0;6.0;6.2;8.6;6.5;6.3;6.1
7;10;1;12;07010001_12_8;2022;3;2;4.5;4.4;4.6;4.4;4.9;4.8;5.4;6.6;6.1;13.4;9.8;10.1;8.0;6.0;5.6;6.2;7.5;7.6;9.1;10.2;6.9;7.3;6.2;7.3
7;10;1;12;07010001_12_8;2022;3;3;6.0;5.6;4.9;4.2;4.2;4.9;6.8;8.1;4.8;4.7;4.4;3.6;3.4;3.8;3.2;4.6;5.3;6.5;7.4;8.3;10.3;8.3;6.2;5.0
30;15;1;12;30015001_12_8;2022;3;4;10.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;12.0;12.0;12.0;11.0;11.0;11.0;14.0;15.0;17.0;14.0;18.0;23.0;15.0;13.0
30;16;18;12;30016018_12_8;2022;3;4;8.0;8.0;8.0;8.0;9.0;10.0;11.0;13.0;13.0;12.0;9.0;8.0;9.0;9.0;10.0;10.0;11.0;18.0;18.0;14.0;12.0;11.0;11.0;11.0
15;57;999;12;15057999_12_8;2022;3;3;4.76;4.75;4.68;1.75;1.66;1.57;2.4;2.17;2.71;2.45;2.73;2.38;1.72;1.63;1.54;1.44;1.49;1.36;1.48;1.58;1.63;1.41;1.11;1.16
38;6;1;12;38006001_12_8;2022;3;3;5.9;6.1;6.3;6.6;8.2;11.3;23.0;56.3;76.6;15.1;9.6;10.7;7.9;6.9;7.1;8.2;13.2;12.4;11.0;13.2;11.4;6.6;9.1;6.2
30;24;2;12;30024002_12_8;2022;3;4;11.0;11.0;10.0;11.0;10.0;11.0;14.0;13.0;14.0;14.0;14.0;16.0;17.0;16.0;15.0;16.0;14.0;15.0;17.0;20.0;13.0;13.0;12.0;12.0
32;39;1;12;32039001_12_8;2022;3;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
38;31;1;12;38031001_12_8;2022;3;3;4.0;4.0;3.0;4.0;4.0;4.0;5.0;8.0;11.0;7.0;6.0;4.0;6.0;7.0;7.0;8.0;6.0;7.0;8.0;9.0;9.0;9.0;7.0;4.0
3;65;6;12;03065006_12_8;2022;3;3;13.0;13.0;7.0;5.0;9.0;10.0;24.0;60.0;48.0;13.0;9.0;8.0;5.0;5.0;7.0;6.0;7.0;8.0;7.0;8.0;7.0;13.0;11.0;7.0
31;107;1;12;31107001_12_8;2022;3;4;6.0;5.0;4.0;5.0;5.0;6.0;5.0;5.0;7.0;8.0;6.0;6.0;6.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;6.0;7.0
