"","PROVINCIA","MUNICIPIO","ESTACION","ANNO","MES","DIA","As","BaP","Cd","Ni","Pb","PM2.5","PM10","LATITUD_G","LONGITUD_G","ZONA"
"1",12,32,5,2018,4,"29",NA,NA,NA,NA,NA,NA,14,39.895,-0.08778,"INDUSTRIAL"
"2",12,32,5,2018,4,"30",0.42,NA,0.04,0.82,0.01,NA,15,39.895,-0.08778,"INDUSTRIAL"
"3",12,32,5,2018,4,"31",NA,NA,NA,NA,NA,NA,NA,39.895,-0.08778,"INDUSTRIAL"
"4",12,32,5,2018,1,"01",0.28,NA,0.01,0.92,0.01,NA,6,39.895,-0.08778,"INDUSTRIAL"
"5",12,32,5,2018,5,"02",1.52,NA,0.25,1.65,0.01,NA,26,39.895,-0.08778,"INDUSTRIAL"
"6",12,32,5,2018,1,"02",NA,NA,NA,NA,NA,NA,5,39.895,-0.08778,"INDUSTRIAL"
"7",12,32,5,2018,1,"03",NA,NA,NA,NA,NA,NA,NA,39.895,-0.08778,"INDUSTRIAL"
"8",12,32,5,2018,5,"01",NA,0.04,NA,NA,NA,NA,15,39.895,-0.08778,"INDUSTRIAL"
"9",12,32,5,2018,1,"05",0.55,NA,0.08,0.5,0.01,NA,9,39.895,-0.08778,"INDUSTRIAL"
"10",12,32,5,2018,1,"06",NA,0.04,NA,NA,NA,NA,14,39.895,-0.08778,"INDUSTRIAL"
"11",12,32,5,2018,1,"07",0.7,NA,0.13,0.08,0.01,NA,8,39.895,-0.08778,"INDUSTRIAL"
"12",12,32,5,2018,1,"04",NA,0.04,NA,NA,NA,NA,9,39.895,-0.08778,"INDUSTRIAL"
"13",12,32,5,2018,4,"28",0.96,NA,0.11,6.45,0.01,NA,34,39.895,-0.08778,"INDUSTRIAL"
"14",12,32,5,2018,3,"31",0.28,NA,0.03,0.83,0.01,NA,13,39.895,-0.08778,"INDUSTRIAL"
"15",12,32,5,2018,4,"01",0.42,NA,0.67,1.67,0.02,NA,12,39.895,-0.08778,"INDUSTRIAL"
"16",12,32,5,2018,4,"02",0.56,NA,0.04,1.94,0.01,NA,19,39.895,-0.08778,"INDUSTRIAL"
"17",12,32,5,2018,4,"03",NA,0.04,NA,NA,NA,NA,31,39.895,-0.08778,"INDUSTRIAL"
"18",12,32,5,2018,4,"04",NA,NA,NA,NA,NA,NA,NA,39.895,-0.08778,"INDUSTRIAL"
"19",12,32,5,2018,4,"05",NA,NA,NA,NA,NA,8,NA,39.895,-0.08778,"INDUSTRIAL"
